year,province,male,female
2020,Bitlis,3928,3764
2020,Bolu,1501,1556
2020,Burdur,1286,1206
2020,Bursa,19662,18519
2020,Denizli,5824,5629
2020,Diyarbakır,18962,18038
2020,Düzce,2417,2355
2020,Edirne,1887,1723
2020,Elazığ,3943,3651
2020,Erzincan,1354,1284
2020,Erzurum,6217,5835
2020,Eskişehir,4516,4281
2020,Gaziantep,20565,19779
2020,Giresun,2081,1946
2020,Gümüşhane,802,815
2020,Hakkari,2664,2453
2020,Hatay,13230,12797
2020,Isparta,2316,2156
2020,Iğdır,1828,1753
2020,Kahramanmaraş,9233,8772
2020,Karabük,1104,1082
2020,Karaman,1713,1591
2020,Kars,2482,2249
2020,Kastamonu,1734,1618
2020,Kayseri,9274,8808
2020,Kilis,1357,1341
2020,Kocaeli,13979,13015
2020,Konya,15888,15251
2020,Kütahya,2869,2760
2020,Kırklareli,1757,1588
2020,Kırıkkale,1460,1339
2020,Kırşehir,1331,1274
2020,Malatya,5059,4641
2020,Manisa,8646,8257
2020,Mardin,9781,9207
2020,Mersin,12064,11484
2020,Muğla,5127,4882
2020,Muş,4870,4527
2020,Nevşehir,1939,1710
2020,Niğde,2356,2307
2020,Ordu,4039,3685
2020,Osmaniye,3924,3764
2020,Rize,1874,1810
2020,Sakarya,6727,6286
2020,Samsun,7473,7010
2020,Siirt,3862,3776
2020,Sinop,1064,1022
2020,Sivas,3908,3678
2020,Tekirdağ,6799,6420
2020,Tokat,3076,2959
2020,Trabzon,4622,4270
2020,Tunceli,479,451
2020,Uşak,1950,1846
2020,Van,12542,12103
2020,Yalova,1468,1397
2020,Yozgat,2482,2374
2020,Zonguldak,2565,2472
2020,Çanakkale,2569,2357
2020,Çankırı,1075,1047
2020,Çorum,2848,2625
2020,İstanbul,98664,94006
2020,İzmir,22911,21753
2020,Şanlıurfa,30556,28936
2020,Şırnak,6812,6740
2021,Adana,15509,14461
2021,Adıyaman,5608,5407
2021,Afyonkarahisar,4616,4305
2021,Aksaray,3074,2928
2021,Amasya,1620,1523
2021,Ankara,30932,29246
2021,Antalya,14757,13783
2021,Ardahan,602,615
2021,Artvin,784,752
2021,Aydın,5982,5671
2021,Ağrı,6026,5591
2021,Balıkesir,5599,5268
2021,Bartın,821,822
2021,Batman,6713,6492
2021,Bayburt,510,481
2021,Bilecik,1242,1050
2021,Bingöl,2425,2259
2021,Bitlis,3904,3735
2021,Bolu,1578,1479
2021,Burdur,1242,1195
2021,Bursa,18817,17783
2021,Denizli,5601,5413
2021,Diyarbakır,19055,18168
2021,Düzce,2264,2199
2021,Edirne,1818,1692
2021,Elazığ,3567,3434
2021,Erzincan,1441,1326
2021,Erzurum,5916,5620
2021,Eskişehir,4499,4238
2021,Gaziantep,20996,19969
2021,Giresun,1980,1842
2021,Gümüşhane,755,718
2021,Hakkari,2508,2383
2021,Hatay,13149,12372
2021,Isparta,2180,2208
2021,Iğdır,1771,1727
2021,Kahramanmaraş,8710,8347
2021,Karabük,1141,1121
2021,Karaman,1594,1517
2021,Kars,2274,2127
2021,Kastamonu,1627,1634
2021,Kayseri,9038,8458
2021,Kilis,1391,1319
2021,Kocaeli,13593,12953
2021,Konya,15572,15037
2021,Kütahya,2631,2506
2021,Kırklareli,1619,1476
2021,Kırıkkale,1349,1304
2021,Kırşehir,1244,1195
2021,Malatya,4783,4715
2021,Manisa,8411,7981
2021,Mardin,9921,9585
2021,Mersin,11918,11113
2021,Muğla,4990,4653
2021,Muş,4699,4473
2021,Nevşehir,1858,1717
2021,Niğde,2267,2234
2021,Ordu,3659,3462
2021,Osmaniye,3724,3618
2021,Rize,1824,1768
2021,Sakarya,6664,6401
2021,Samsun,7139,6641
2021,Siirt,3734,3511
2021,Sinop,967,986
2021,Sivas,3624,3525
2021,Tekirdağ,6550,6369
2021,Tokat,2996,2774
2021,Trabzon,4559,4133
2021,Tunceli,466,420
2021,Uşak,1839,1741
2021,Van,11653,11022
2021,Yalova,1512,1414
2021,Yozgat,2351,2179
2021,Zonguldak,2423,2328
2021,Çanakkale,2421,2273
2021,Çankırı,1134,1019
2021,Çorum,2659,2558
2021,İstanbul,92752,88255
2021,İzmir,22373,20964
2021,Şanlıurfa,31982,30228
2021,Şırnak,7021,6822
2022,Adana,15337,14326
2022,Adıyaman,5300,5086
2022,Afyonkarahisar,4430,4226
2022,Aksaray,3106,2838
2022,Amasya,1518,1472
2022,Ankara,29788,28195
2022,Antalya,14076,13080
2022,Ardahan,542,527
2022,Artvin,794,728
2022,Aydın,5815,5513
2022,Ağrı,5318,5134
2022,Balıkesir,5536,5350
2022,Bartın,874,780
2022,Batman,6349,6099
2022,Bayburt,479,417
2022,Bilecik,1107,1142
2022,Bingöl,2195,2038
2022,Bitlis,3695,3474
