uni_name,type,city,region,year,foundation_year
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,state,Kahramanmaraş,Mediterranean,1999,1992
KARADENİZ TEKNİK ÜNİVERSİTESİ,state,Trabzon,Black Sea,1999,1955
KIRIKKALE ÜNİVERSİTESİ,state,Kırıkkale,Central Anatolia,1999,1992
KOCAELİ ÜNİVERSİTESİ,state,Kocaeli,Marmara,1999,1992
KOÇ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1992
MALTEPE ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1997
MARMARA ÜNİVERSİTESİ,state,İstanbul,Marmara,1999,1982
MERSİN ÜNİVERSİTESİ,state,Mersin,Mediterranean,1999,1992
MUSTAFA KEMAL ÜNİVERSİTESİ,state,Hatay,Mediterranean,1999,1992
NİĞDE ÜNİVERSİTESİ,state,Niğde,Central Anatolia,1999,1992
OKAN ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1999
ONDOKUZ MAYIS ÜNİVERSİTESİ,state,Samsun,Black Sea,1999,1975
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1999,1956
OSMANGAZİ ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,1999,1993
PAMUKKALE ÜNİVERSİTESİ,state,Denizli,Aegean,1999,1992
SABANCI ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1996
SAKARYA ÜNİVERSİTESİ,state,Sakarya,Marmara,1999,1992
SELÇUK ÜNİVERSİTESİ,state,Konya,Central Anatolia,1999,1975
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,state,Isparta,Mediterranean,1999,1992
TRAKYA ÜNİVERSİTESİ,state,Edirne,Marmara,1999,1982
